 number of kpoints:        1936
 number of conduction states           2
 number of valence states           2
 # kx ky kz nocp nc nv  energy  xx  yy  zz  xy  xz  yz
  1.413324  2.290016  0.000000        14        16        14  2.318501  0.000474  0.000580  0.000000  0.000017  0.000000  0.000000
  1.322142  2.395304  0.000000        14        16        14  2.318506  0.000510  0.000445  0.000000  0.000034  0.000000  0.000000
  0.683866  1.237135  0.000000        14        16        14  2.318526  0.000580  0.000501  0.000000 -0.000042  0.000000  0.000000
  0.592684  1.184491  0.000000        14        16        14  2.318528  0.000463  0.000566  0.000000  0.000016  0.000000  0.000000
  0.683866  1.079203  0.000000        14        16        14  2.318540  0.000543  0.000474  0.000000  0.000036  0.000000  0.000000
  1.276551  2.263694  0.000000        14        16        14  2.318563  0.000521  0.000489  0.000000 -0.000052  0.000000  0.000000
  0.729457  1.210813  0.000000        14        16        14  2.318595  0.000582  0.000550  0.000000 -0.000058  0.000000  0.000000
  1.413324  2.342660  0.000000        14        16        14  2.318650  0.000510  0.000621  0.000000 -0.000013  0.000000  0.000000
  0.592684  1.131847  0.000000        14        16        14  2.318674  0.000487  0.000593  0.000000 -0.000013  0.000000  0.000000
  0.683866  1.184491  0.000000        14        15        13  2.402409  0.000182  0.000178  0.000000 -0.000005  0.000000  0.000000
  1.322142  2.290016  0.000000        14        15        13  2.402419  0.000170  0.000166  0.000000 -0.000004  0.000000  0.000000
  0.683866  1.131847  0.000000        14        15        13  2.402427  0.000177  0.000173  0.000000  0.000004  0.000000  0.000000
  1.322142  2.342660  0.000000        14        15        13  2.402439  0.000166  0.000163  0.000000  0.000004  0.000000  0.000000
  0.638275  1.158169  0.000000        14        15        13  2.402450  0.000173  0.000183  0.000000  0.000000  0.000000  0.000000
  1.367733  2.316338  0.000000        14        15        13  2.402462  0.000173  0.000183  0.000000  0.000000  0.000000  0.000000
  1.367733  2.211050  0.000000        14        15        14  2.412846  3.746688  3.168611  0.000000  0.016172  0.000000  0.000000
  1.413324  2.237372  0.000000        14        15        14  2.412851  3.305094  3.560112  0.000000  0.283984  0.000000  0.000000
  0.638275  1.263457  0.000000        14        15        14  2.412873  3.746464  3.168425  0.000000  0.016179  0.000000  0.000000
  0.592684  1.237135  0.000000        14        15        14  2.412881  3.305050  3.559945  0.000000  0.283982  0.000000  0.000000
  1.230959  2.342660  0.000000        14        15        14  2.412951  3.249131  3.616165  0.000000  0.250856  0.000000  0.000000
  0.775048  1.131847  0.000000        14        15        14  2.412993  3.248668  3.615877  0.000000  0.250797  0.000000  0.000000
  1.230959  2.290016  0.000000        14        15        14  2.413003  3.296925  3.618357  0.000000 -0.242882  0.000000  0.000000
  0.775048  1.184491  0.000000        14        15        14  2.413051  3.296416  3.617982  0.000000 -0.242891  0.000000  0.000000
  1.367733  2.421626  0.000000        14        15        14  2.413162  3.737909  3.167927  0.000000 -0.045312  0.000000  0.000000
  0.638275  1.052881  0.000000        14        15        14  2.413186  3.737785  3.167795  0.000000 -0.045346  0.000000  0.000000
  1.413324  2.395304  0.000000        14        15        14  2.413239  3.345089  3.558443  0.000000 -0.271115  0.000000  0.000000
  0.592684  1.079203  0.000000        14        15        14  2.413262  3.345232  3.558469  0.000000 -0.271191  0.000000  0.000000
  1.367733  2.211050  0.000000        14        16        14  2.417683  0.002271  0.001918  0.000000  0.000009  0.000000  0.000000
  1.413324  2.237372  0.000000        14        16        14  2.417691  0.002031  0.002192  0.000000  0.000175  0.000000  0.000000
  0.638275  1.263457  0.000000        14        16        14  2.417705  0.002428  0.002053  0.000000  0.000009  0.000000  0.000000
  0.592684  1.237135  0.000000        14        16        14  2.417713  0.002111  0.002276  0.000000  0.000182  0.000000  0.000000
  1.230959  2.342660  0.000000        14        16        14  2.417778  0.001911  0.002123  0.000000  0.000147  0.000000  0.000000
  0.775048  1.131847  0.000000        14        16        14  2.417807  0.002204  0.002452  0.000000  0.000171  0.000000  0.000000
  1.230959  2.290016  0.000000        14        16        14  2.417827  0.002061  0.002258  0.000000 -0.000154  0.000000  0.000000
  0.775048  1.184491  0.000000        14        16        14  2.417856  0.002400  0.002633  0.000000 -0.000178  0.000000  0.000000
